3001 1 test 1 x 4 shape1.jpg 1 1 You Julia none Julia 2 0 1500
3001 1 test 2 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 1006
3001 1 test 3 m 5 shape2.jpg 1 1 You Julia none Julia 2 1 1249
3001 1 test 4 x 3 shape3.jpg 1 1 You Julia none Julia 1 0 1499
3001 1 test 5 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 884
3001 1 test 6 m 4 shape1.jpg 1 1 You Julia none Julia 2 1 996
3001 1 test 7 m 4 shape1.jpg 1 1 You Julia none Julia 2 1 1303
3001 1 test 8 m 3 shape3.jpg 1 1 You Julia none Julia 1 0 1149
3001 1 test 9 m 5 shape2.jpg 1 1 You Julia none Julia 2 1 984
3001 1 test 10 m 4 shape1.jpg 1 1 You Julia none Julia 2 1 957
3001 1 test 11 m 4 shape1.jpg 1 1 You Julia none Julia 2 1 969
3001 1 test 12 m 9 shape3.jpg 1 1 You Julia none Julia 2 1 1116
3001 1 test 13 x 8 shape2.jpg 1 1 You Julia none Julia 2 0 1499
3001 1 test 14 x 6 shape3.jpg 1 1 You Julia none Julia 2 0 1499
3001 1 test 15 m 7 shape1.jpg 1 1 You Julia none Julia 2 1 978
3001 1 test 16 z 2 shape2.jpg 1 1 You Julia none Julia 1 1 1029
3001 1 test 17 x 8 shape2.jpg 1 1 You Julia none Julia 2 0 1499
3001 1 test 18 m 8 shape2.jpg 1 1 You Julia none Julia 2 1 610
3001 1 test 19 z 9 shape3.jpg 1 1 You Julia none Julia 2 0 700
3001 1 test 20 m 3 shape3.jpg 1 1 You Julia none Julia 1 0 1413
3001 1 test 21 z 2 shape2.jpg 1 1 You Julia none Julia 1 1 1198
3001 1 test 22 z 2 shape2.jpg 1 1 You Julia none Julia 1 1 1425
3001 1 test 23 m 7 shape1.jpg 1 1 You Julia none Julia 2 1 802
3001 1 test 24 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 764
3001 1 test 25 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 753
3001 1 test 26 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 621
3001 1 test 27 m 3 shape3.jpg 1 1 You Julia none Julia 1 0 1063
3001 1 test 28 z 3 shape3.jpg 1 1 You Julia none Julia 1 1 890
3001 1 test 29 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 672
3001 1 test 30 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 656
3001 1 test 31 m 2 shape2.jpg 1 1 You Julia none Julia 1 0 1378
3001 1 test 32 m 3 shape3.jpg 1 1 You Julia none Julia 1 0 989
3001 1 test 33 m 5 shape2.jpg 1 1 You Julia none Julia 2 1 1017
3001 1 test 34 m 5 shape2.jpg 1 1 You Julia none Julia 2 1 1106
3001 1 test 35 m 6 shape3.jpg 1 1 You Julia none Julia 2 1 1120
3001 1 test 36 z 2 shape2.jpg 1 1 You Julia none Julia 1 1 1038
3001 1 test 37 z 2 shape2.jpg 1 1 You Julia none Julia 1 1 711
3001 1 test 38 m 5 shape2.jpg 1 1 You Julia none Julia 2 1 1373
3001 1 test 39 z 2 shape2.jpg 1 1 You Julia none Julia 1 1 1151
3001 1 test 40 z 1 shape1.jpg 1 1 You Julia none Julia 1 1 724
3001 1 test 41 m 6 shape3.jpg 1 1 You Julia none Julia 2 1 1212
3001 1 test 42 m 9 shape3.jpg 1 1 You Julia none Julia 2 1 1117
